mun,ano,rf_veiculo,rf,homicidio_doloso,lcd,estupro,id_municipio,pop,gm,gm_ano,tx_rf_veiculo,tx_rf,tx_homicidio_doloso,tx_lcd,tx_estupro,pre_treated,treat
Arujá,2001,339,651,23,253,6,3503901,61715,1,1995,549.2991979259499,1054.8489022117801,37.26808717491696,409.94895892408647,9.722109697804424,1,0
Aspásia,2001,0,6,0,11,0,3503950,1849,0,NA,0,324.4997295835587,0,594.916170903191,0,0,0
Assis,2001,163,193,10,692,20,3504008,88535,0,NA,184.1079798949568,217.9928841701022,11.294968091715141,781.6117919466877,22.589936183430282,0,0
Atibaia,2001,428,373,20,561,11,3504107,114090,1,1991,375.14243141379615,326.9348759751074,17.530020159523183,491.7170654746253,9.64151108773775,1,0
Auriflama,2001,5,97,0,55,0,3504206,13604,0,NA,36.753895912966776,713.0255807115554,0,404.2928550426345,0,0,0
Avaí,2001,3,44,0,16,2,3504305,4590,0,NA,65.359477124183,958.6056644880174,0,348.5838779956427,43.57298474945534,0,0
Avanhandava,2001,2,81,2,81,1,3504404,8930,0,NA,22.396416573348265,907.0548712206047,22.396416573348265,907.0548712206047,11.198208286674133,0,0
Avaré,2001,81,156,16,626,2,3504503,78278,1,2010,103.47734995784256,199.289711029919,20.439970362042978,799.7138404149314,2.554996295255372,0,0
Bady Bassitt,2001,13,122,0,39,0,3504602,12253,0,NA,106.09646617154984,995.6745286868521,0,318.28939851464946,0,0,0
Balbinos,2001,0,9,0,2,0,3504701,1324,0,NA,0,679.7583081570997,0,151.05740181268882,0,0,0
Bálsamo,2001,3,39,0,42,2,3504800,7378,0,NA,40.661425860666846,528.598536188669,0,569.2599620493359,27.10761724044456,0,0
Bananal,2001,3,37,0,30,1,3504909,9788,0,NA,30.64977523498161,378.0138945647732,0,306.4977523498161,10.21659174499387,0,0
Barão de Antonina,2001,0,18,0,24,0,3505005,2765,0,NA,0,650.994575045208,0,867.992766726944,0,0,0
Barbosa,2001,2,104,0,57,1,3505104,5897,0,NA,33.91555027980329,1763.608614549771,0,966.5931829743938,16.957775139901646,0,0
Bariri,2001,14,551,0,170,0,3505203,28673,0,NA,48.82642206954278,1921.668468594148,0,592.8922679873052,0,0,0
Barra Bonita,2001,48,563,1,213,1,3505302,35919,1,2014,133.63400985550822,1567.4155739302319,2.784041871989755,593.0009187338178,2.784041871989755,0,0
Barra do Chapéu,2001,0,0,0,0,0,3505351,4831,0,NA,0,0,0,0,0,0,0
Barra do Turvo,2001,4,129,6,36,6,3505401,8228,0,NA,48.61448711716091,1567.8172095284397,72.92173067574137,437.5303840544483,72.92173067574137,0,0
Barretos,2001,57,86,6,967,6,3505500,104913,0,NA,54.33073117726116,81.97268212709578,5.719024334448543,921.7160885686235,5.719024334448543,0,0
Barrinha,2001,7,327,4,139,2,3505609,24864,0,NA,28.153153153153152,1315.1544401544402,16.087516087516086,559.0411840411841,8.043758043758043,0,0
Barueri,2001,889,964,93,893,30,3505708,217510,1,1994,408.71684060502963,443.1980138844191,42.75665486644292,410.5558365132637,13.79246931175578,1,0
Bastos,2001,7,220,2,117,1,3505807,20773,0,NA,33.69758821547201,1059.0670582005487,9.627882347277717,563.2311173157464,4.813941173638859,0,0
