mun,ano,rf_veiculo,rf,homicidio_doloso,lcd,estupro,id_municipio,pop,gm,gm_ano,tx_rf_veiculo,tx_rf,tx_homicidio_doloso,tx_lcd,tx_estupro,pre_treated,treat
Caconde,2004,8,58,1,100,2,3508702,18940,0,NA,42.23864836325237,306.2302006335797,5.279831045406547,527.9831045406547,10.559662090813093,0,0
Cafelândia,2004,3,122,1,143,0,3508801,16068,0,NA,18.670649738610905,759.2730893701768,6.223549912870301,889.9676375404531,0,0,0
Caiabu,2004,2,18,0,19,0,3508900,4191,0,NA,47.721307563827246,429.49176807444525,0,453.3524218563589,0,0,0
Caieiras,2004,172,735,8,445,4,3509007,87717,1,1992,196.08513743060067,837.9219535551832,9.120238950260497,507.3132916082401,4.560119475130248,1,0
Caiuá,2004,0,50,1,37,1,3509106,4629,0,NA,0,1080.146899978397,21.602937999567942,799.3087059840137,21.602937999567942,0,0
Cajamar,2004,105,603,11,286,12,3509205,59496,1,2018,176.48245260185558,1013.5135135135135,18.488637891622965,480.7045851821971,20.169423154497782,0,0
Cajati,2004,19,349,4,99,4,3509254,32091,0,NA,59.206631142687975,1087.5323299367424,12.464553924776418,308.4977096382163,12.464553924776418,0,0
Cajobi,2004,2,64,1,52,1,3509304,9388,1,1987,21.303792074989346,681.7213463996591,10.651896037494673,553.898593949723,10.651896037494673,1,0
Cajuru,2004,8,439,2,217,4,3509403,21917,1,1994,36.50134598713328,2003.0113610439385,9.12533649678332,990.0990099009902,18.25067299356664,1,0
Campina do Monte Alegre,2004,0,50,1,41,0,3509452,5876,1,2014,0,850.918992511913,17.018379850238258,697.7535738597686,0,0,0
Campinas,2004,10,27,362,5,137,3509502,1031887,1,1991,0.9690983605763033,2.616565573556019,35.08136065286218,0.48454918028815164,13.276647539895356,1,0
Campo Limpo Paulista,2004,137,964,20,349,5,3509601,73132,1,1965,187.33249466717714,1318.1644150303562,27.34780944046382,477.21927473609367,6.836952360115955,1,0
Campos do Jordão,2004,64,140,11,352,6,3509700,47903,1,1985,133.60332338266915,292.2572698995888,22.96307120639626,734.8182786046804,12.52531156712523,1,0
Campos Novos Paulista,2004,2,26,0,22,0,3509809,4266,0,NA,46.882325363338026,609.4702297233943,0,515.7055789967183,0,0,0
Cananéia,2004,2,230,3,106,1,3509908,13615,0,NA,14.689680499449137,1689.3132574366507,22.034520749173705,778.5530664708043,7.344840249724569,0,0
Canas,2004,5,66,1,22,0,3509957,3970,0,NA,125.94458438287154,1662.4685138539041,25.188916876574307,554.1561712846348,0,0,0
Cândido Mota,2004,11,259,3,119,0,3510005,31245,0,NA,35.2056329012642,828.9326292206753,9.601536245799327,380.86093775004,0,0,0
Cândido Rodrigues,2004,2,19,0,18,0,3510104,2759,0,NA,72.49003262051468,688.6553098948895,0,652.4102935846321,0,0,0
Canitar,2004,0,38,0,30,3,3510153,4016,0,NA,0,946.2151394422311,0,747.0119521912351,74.7011952191235,0,0
Capão Bonito,2004,22,95,6,414,11,3510203,46881,0,NA,46.92732663552399,202.640728653399,12.798361809688359,883.0869648684968,23.463663317761995,0,0
Capela do Alto,2004,18,191,1,61,4,3510302,16030,1,2007,112.2894572676232,1191.515907673113,6.238303181534623,380.536494073612,24.953212726138492,0,0
Capivari,2004,76,665,3,305,9,3510401,45187,1,1968,168.1899661407042,1471.6622037311615,6.63907761081727,674.9728904330891,19.917232832451813,1,0
Caraguatatuba,2004,133,598,26,816,9,3510500,92283,0,NA,144.1218859378217,648.0066751189277,28.174203266040333,884.2365332726504,9.752608822860116,0,0
Carapicuíba,2004,1082,3,103,1,49,3510609,375859,1,2009,287.8739101631197,0.7981716547960805,27.403893481332094,0.26605721826536016,13.036803695002646,0,0
Cardoso,2004,2,105,2,157,2,3510708,11258,0,NA,17.765144785930005,932.6701012613253,17.765144785930005,1394.5638656955055,17.765144785930005,0,0
Casa Branca,2004,20,318,1,244,0,3510807,27565,0,NA,72.55577725376384,1153.6368583348449,3.627788862688192,885.1804824959187,0,0,0
Cássia dos Coqueiros,2004,0,36,0,5,0,3510906,2949,0,NA,0,1220.7527975584944,0,169.548999660902,0,0,0
Castilho,2004,5,277,4,121,2,3511003,15122,0,NA,33.06440946964687,1831.7682846184368,26.451527575717495,800.1587091654543,13.225763787858748,0,0
Catanduva,2004,65,135,7,1,11,3511102,113578,1,2004,57.22939301625315,118.86104703375655,6.16316540175034,0.8804522002500484,9.684974202750533,0,1
Catiguá,2004,3,45,0,22,0,3511201,6706,0,NA,44.736057262153295,671.0408589322994,0,328.0644199224575,0,0,0
Cedral,2004,3,63,2,7,1,3511300,7211,0,NA,41.60310636527527,873.6652336707807,27.73540424351685,97.07391485230897,13.867702121758425,0,0
Cerqueira César,2004,7,199,0,216,5,3511409,16320,0,NA,42.8921568627451,1219.3627450980391,0,1323.5294117647059,30.637254901960784,0,0
Cerquilho,2004,42,558,2,176,3,3511508,34362,1,1993,122.22804260520343,1623.8868517548456,5.820382981200163,512.1937023456144,8.730574471800244,1,0
Cesário Lange,2004,17,128,0,69,1,3511607,13771,1,2001,123.4478251397865,929.4895069348632,0,501.05293733207463,7.261636772928619,0,1
Charqueada,2004,28,185,3,144,0,3511706,14218,1,1980,196.9334646223097,1301.1675341116893,21.100014066676046,1012.8006752004501,0,1,0
Chavantes,2004,1,107,1,82,0,3557204,12437,0,NA,8.04052424218059,860.3360939133232,8.04052424218059,659.3229878588085,0,0,0
Clementina,2004,0,27,0,47,0,3511904,5671,0,NA,0,476.10650678892614,0,828.7779932992418,0,0,0
Colina,2004,14,475,2,178,1,3512001,17051,0,NA,82.10662131253298,2785.760365960941,11.729517330361857,1043.9270424022052,5.864758665180928,0,0
Colômbia,2004,0,80,2,27,0,3512100,6299,0,NA,0,1270.0428639466581,31.751071598666456,428.6394665819971,0,0,0
Conchal,2004,52,347,3,135,0,3512209,24422,1,1986,212.92277454753912,1420.8500532306937,12.284006223896485,552.7802800753419,0,1,0
Conchas,2004,10,227,0,117,5,3512308,16450,1,1985,60.79027355623101,1379.9392097264438,0,711.2462006079027,30.395136778115504,1,0
Cordeirópolis,2004,64,313,1,118,1,3512407,19773,1,1978,323.67369645476157,1582.9666717240682,5.0574015071056495,596.7733778384666,5.0574015071056495,1,0
Coroados,2004,5,83,0,33,0,3512506,4615,0,NA,108.34236186348862,1798.483206933911,0,715.059588299025,0,0,0
Coronel Macedo,2004,5,37,0,35,1,3512605,5506,0,NA,90.81002542680713,671.9941881583727,0,635.6701779876498,18.162005085361425,0,0
Corumbataí,2004,12,56,0,14,0,3512704,4121,0,NA,291.19145838388744,1358.8934724581413,0,339.72336811453533,0,0,0
Cosmópolis,2004,108,1025,15,308,7,3512803,48638,1,1969,222.0486039722028,2107.405732143591,30.840083885028168,633.249722439245,14.392039146346477,1,0
Cosmorama,2004,2,51,1,39,0,3512902,7137,0,NA,28.022978842650975,714.5859604875998,14.011489421325487,546.448087431694,0,0,0
Cotia,2004,570,681,60,988,40,3513009,170296,1,1983,334.71132616150703,399.89195283506365,35.232771174895475,580.1662986799455,23.488514116596985,1,0
Cravinhos,2004,33,561,0,246,0,3513108,31412,0,NA,105.0553928434993,1785.941678339488,0,783.1402011969947,0,0,0
Cristais Paulista,2004,6,67,3,43,0,3513207,7056,0,NA,85.03401360544217,949.5464852607711,42.517006802721085,609.4104308390023,0,0,0
Cruzália,2004,1,21,0,7,0,3513306,2580,0,NA,38.75968992248062,813.953488372093,0,271.3178294573643,0,0,0
Cruzeiro,2004,83,1009,10,653,8,3513405,75980,1,2011,109.23927349302448,1327.9810476441169,13.161358252171624,859.4366938668071,10.5290866017373,0,0
Cubatão,2004,202,632,40,727,15,3513504,117120,0,NA,172.47267759562843,539.6174863387978,34.15300546448088,620.7308743169399,12.807377049180328,0,0
Cunha,2004,7,191,1,113,0,3513603,22899,0,NA,30.56902048124372,834.0975588453643,4.36700292589196,493.4713306257915,0,0,0
Descalvado,2004,22,250,4,105,0,3513702,30548,0,NA,72.0178080398062,818.384182270525,13.094146916328402,343.7213565536205,0,0,0
Diadema,2004,991,4,133,1,34,3513801,383629,1,1999,258.3224938677733,1.0426740418477227,34.66891189143678,0.2606685104619307,8.862729355705643,1,0
Dirce Reis,2004,0,7,0,18,0,3513850,1479,0,NA,0,473.29276538201486,0,1217.0385395537526,0,0,0
Divinolândia,2004,2,27,1,47,1,3513900,12121,0,NA,16.500288755053212,222.7538981932184,8.250144377526606,387.7567857437505,8.250144377526606,0,0
Dobrada,2004,2,22,2,16,1,3514007,7052,0,NA,28.36074872376631,311.9682359614294,28.36074872376631,226.88598979013048,14.180374361883155,0,0
Dois Córregos,2004,12,342,6,219,3,3514106,24412,0,NA,49.1561527117811,1400.950352285761,24.57807635589055,897.0997869900049,12.289038177945274,0,0
Dolcinópolis,2004,0,13,0,17,1,3514205,2182,1,2004,0,595.7836846929423,0,779.1017415215398,45.82951420714941,0,1
Dourado,2004,3,50,0,60,1,3514304,9049,0,NA,33.15283456735551,552.5472427892585,0,663.0566913471101,11.050944855785168,0,0
Dracena,2004,7,622,5,340,2,3514403,40914,0,NA,17.10905802414821,1520.262013002884,12.220755731534439,831.0113897443417,4.888302292613775,0,0
Duartina,2004,5,110,1,41,0,3514502,12772,0,NA,39.14813654870028,861.2590040714063,7.829627309740057,321.0147196993423,0,0,0
Dumont,2004,0,45,0,33,0,3514601,6988,0,NA,0,643.9610761305095,0,472.2381224957069,0,0,0
Echaporã,2004,0,48,0,34,0,3514700,7088,0,NA,0,677.2009029345372,0,479.68397291196385,0,0,0
Eldorado,2004,2,148,2,81,3,3514809,14654,0,NA,13.64815067558346,1009.9631499931759,13.64815067558346,552.7501023611301,20.472226013375188,0,0
Elias Fausto,2004,25,219,4,106,2,3514908,15045,1,1983,166.1681621801263,1455.6331006979065,26.58690594882021,704.5530076437354,13.293452974410105,1,0
Elisiário,2004,0,17,0,3,0,3514924,2597,0,NA,0,654.6014632268001,0,115.51790527531767,0,0,0
Embaúba,2004,0,27,0,17,0,3514957,2519,1,1993,0,1071.853910281858,0,674.8709805478364,0,1,0
Embu-Guaçu,2004,150,636,29,203,7,3515103,67505,1,1995,222.20576253610844,942.1524331530998,42.95978075698096,300.71846529886676,10.369602251685059,1,0
Embu das Artes,2004,564,724,85,857,29,3515004,234174,1,2002,240.8465500012811,309.17181241299204,36.297795656221446,365.96718679272675,12.38395381212261,0,1
Emilianópolis,2004,0,32,0,18,0,3515129,2888,0,NA,0,1108.03324099723,0,623.2686980609419,0,0,0
Engenheiro Coelho,2004,26,195,1,63,0,3515152,11845,1,2012,219.50189953566908,1646.264246517518,8.442380751371887,531.8699873364288,0,0,0
Espírito Santo do Pinhal,2004,33,287,5,340,0,3515186,42174,1,2013,78.24726134585289,680.5140607957509,11.85564565846256,806.1839047754542,0,0,0
Espírito Santo do Turvo,2004,0,32,1,42,1,3515194,4037,0,NA,0,792.6678226405746,24.770869457517957,1040.3765172157541,24.770869457517957,0,0
Estiva Gerbi,2004,10,150,3,58,1,3557303,9975,1,1995,100.25062656641605,1503.7593984962405,30.075187969924812,581.453634085213,10.025062656641605,1,0
Estrela d'Oeste,2004,2,35,0,35,1,3515202,8134,0,NA,24.588148512417014,430.29259896729775,0,430.29259896729775,12.294074256208507,0,0
Estrela do Norte,2004,1,6,0,11,0,3515301,2547,0,NA,39.26187671770711,235.5712603062426,0,431.88064389477813,0,0,0
Euclides da Cunha Paulista,2004,0,145,1,73,3,3515350,10547,0,NA,0,1374.7985209064188,9.481369109699441,692.1399450080592,28.444107329098323,0,0
Fartura,2004,7,124,2,182,3,3515400,15357,0,NA,45.58181936576154,807.4493716220616,13.023376961646154,1185.1273035098002,19.535065442469232,0,0
Fernando Prestes,2004,2,40,0,36,0,3515608,5567,0,NA,35.92599245554158,718.5198491108316,0,646.6678641997486,0,0,0
Fernandópolis,2004,35,30,3,425,3,3515509,64470,0,NA,54.28881650380022,46.53327128897162,4.653327128897161,659.2213432604312,4.653327128897161,0,0
Fernão,2004,0,8,0,3,0,3515657,1299,0,NA,0,615.8583525789068,0,230.94688221709006,0,0,0
Ferraz de Vasconcelos,2004,597,588,58,544,15,3515707,166086,1,1988,359.4523319244247,354.0334525486796,34.92166708813507,327.5411533783702,9.031465626241827,1,0
Flora Rica,2004,0,2,0,11,0,3515806,2073,0,NA,0,96.4785335262904,0,530.6319343945972,0,0,0
Floreal,2004,0,26,0,16,0,3515905,3057,0,NA,0,850.5070330389269,0,523.3889434085705,0,0,0
Flórida Paulista,2004,0,39,1,63,2,3516002,10386,0,NA,0,375.5054881571346,9.628345850182939,606.5857885615251,19.256691700365877,0,0
Florínia,2004,0,31,0,25,0,3516101,3186,0,NA,0,973.0069052102949,0,784.6829880728186,0,0,0
Franca,2004,530,599,29,2,33,3516200,315770,1,1987,167.84368369382778,189.69503119359027,9.183899673813219,0.6333723912974634,10.450644456408146,1,0
Francisco Morato,2004,102,370,57,327,38,3516309,159316,0,NA,64.02370132315649,232.24283813301867,35.77795073941098,205.25245424188404,23.85196715960732,0,0
Franco da Rocha,2004,139,1195,32,742,24,3516408,119710,1,1998,116.1139420265642,998.2457605880878,26.73126722913708,619.8312588756161,20.04845042185281,1,0
Gabriel Monteiro,2004,1,5,0,17,0,3516507,2856,0,NA,35.0140056022409,175.0700280112045,0,595.2380952380952,0,0,0
Gália,2004,0,93,0,39,1,3516606,7364,0,NA,0,1262.9005975013579,0,529.6034763715372,13.579576317218901,0,0
Garça,2004,9,626,2,328,0,3516705,44019,0,NA,20.445716622367613,1422.1131784002362,4.5434925827483585,745.1327835707308,0,0,0
Gastão Vidigal,2004,0,52,0,39,0,3516804,3459,0,NA,0,1503.324660306447,0,1127.4934952298352,0,0,0
Gavião Peixoto,2004,4,17,1,7,0,3516853,4081,0,NA,98.01519235481499,416.5645675079637,24.503798088703746,171.52658662092625,0,0,0
General Salgado,2004,3,89,0,88,1,3516903,11053,0,NA,27.141952411110104,805.2112548629332,0,796.1639373925632,9.047317470370036,0,0
Getulina,2004,3,61,1,72,0,3517000,10498,0,NA,28.576871785101922,581.0630596304057,9.525623928367308,685.8449228424462,0,0,0
Glicério,2004,0,48,2,32,0,3517109,4528,0,NA,0,1060.070671378092,44.169611307420496,706.7137809187279,0,0,0
Guaiçara,2004,6,162,1,50,1,3517208,10671,0,NA,56.2271577171774,1518.1332583637898,9.371192952862899,468.559647643145,9.371192952862899,0,0
Guaimbê,2004,0,43,0,31,2,3517307,5242,0,NA,0,820.2975963372758,0,591.3773368943151,38.15337657382678,0,0
Guaíra,2004,27,58,1,428,3,3517406,36426,1,1999,74.12287926206555,159.2269258222149,2.7452918245209466,1174.9849008949652,8.235875473562839,1,0
Guapiaçu,2004,4,160,0,27,0,3517505,15844,0,NA,25.246149962130776,1009.845998485231,0,170.41151224438275,0,0,0
Guapiara,2004,2,152,1,81,3,3517604,20467,0,NA,9.771827820393804,742.6589143499291,4.885913910196902,395.7590267259491,14.657741730590706,0,0
Guará,2004,9,492,1,136,4,3517703,20226,0,NA,44.49718184514981,2432.5126075348558,4.9441313161277565,672.4018589933748,19.776525264511026,0,0
Guaraçaí,2004,1,69,0,88,2,3517802,9202,1,2010,10.867202782003913,749.8369919582699,0,956.3138448163443,21.734405564007826,0,0
Guaraci,2004,4,57,3,115,2,3517901,9376,0,NA,42.66211604095563,607.9351535836178,31.99658703071672,1226.5358361774745,21.331058020477816,0,0
Guarani d'Oeste,2004,0,10,0,26,0,3518008,2093,0,NA,0,477.7830864787387,0,1242.2360248447203,0,0,0
Guarantã,2004,5,50,0,7,0,3518107,6726,0,NA,74.33838834374072,743.383883437407,0,104.07374368123698,0,0,0
Guararapes,2004,6,772,10,236,0,3518206,29948,0,NA,20.03472685989048,2577.8015226392413,33.391211433150794,788.0325898223588,0,0,0
Guararema,2004,50,372,4,148,5,3518305,23927,0,NA,208.96894721444394,1554.7289672754628,16.717515777155512,618.548083754754,20.896894721444394,0,0
Guaratinguetá,2004,113,396,25,690,10,3518404,110323,0,NA,102.4265112442555,358.9460040064175,22.660732576162722,625.4362191020912,9.06429303046509,0,0
Guareí,2004,8,106,1,51,2,3518503,11083,1,2015,72.18262203374537,956.4197419471261,9.022827754218172,460.1642154651268,18.045655508436344,0,0
Guariba,2004,20,512,13,180,2,3518602,32200,0,NA,62.11180124223603,1590.0621118012423,40.37267080745342,559.0062111801243,6.211180124223603,0,0
Guarujá,2004,331,7,66,1,30,3518701,292828,1,1999,113.03563866843335,2.3904817845288022,22.538828254128703,0.34149739778982885,10.244921933694865,1,0
Guarulhos,2004,5,13,391,4,141,3518800,1218862,1,1992,0.4102187122086011,1.066568651742363,32.07910329471261,0.32817496976688093,11.568167684282553,1,0
Guatapará,2004,1,61,1,58,0,3518859,6662,0,NA,15.010507355148604,915.6409486640649,15.010507355148604,870.609426598619,0,0,0
Guzolândia,2004,0,15,0,32,0,3518909,3907,0,NA,0,383.9262861530586,0,819.0427437931917,0,0,0
Herculândia,2004,3,49,2,24,0,3519006,8482,0,NA,35.36901674133459,577.693940108465,23.57934449422306,282.9521339306767,0,0,0
Holambra,2004,9,128,0,50,2,3519055,8128,1,1994,110.72834645669292,1574.8031496062993,0,615.1574803149607,24.606299212598426,1,0
Hortolândia,2004,534,2,79,802,18,3519071,186726,1,1993,285.98052761800716,1.0710881184195022,42.30798067757035,429.50633548622045,9.639793065775521,1,0
Iacanga,2004,2,62,0,61,2,3519105,8649,0,NA,23.12406058503873,716.8458781362007,0,705.2838478436813,23.12406058503873,0,0
Iacri,2004,4,64,0,61,0,3519204,6652,1,1996,60.132291040288635,962.1166566446182,0,917.0174383644018,0,1,0
Iaras,2004,2,43,1,51,0,3519253,3515,0,NA,56.899004267425326,1223.3285917496444,28.449502133712663,1450.9246088193456,0,0,0
Ibaté,2004,6,75,2,177,0,3519303,30379,1,1985,19.750485532769346,246.88106915961686,6.583495177589782,582.6393232166957,0,1,0
Ibirá,2004,5,94,2,29,1,3519402,9824,0,NA,50.895765472312704,956.840390879479,20.35830618892508,295.1954397394137,10.17915309446254,0,0
Ibirarema,2004,0,27,0,38,1,3519501,5792,0,NA,0,466.16022099447514,0,656.0773480662983,17.265193370165743,0,0
Ibitinga,2004,18,632,0,703,3,3519600,50918,1,2010,35.3509564397659,1241.2113594406692,0,1380.6512431753015,5.891826073294316,0,0
Ibiúna,2004,326,271,25,334,8,3519709,72181,1,1997,451.64239896925784,375.4450617198432,34.63515329518848,462.7256480237181,11.083249054460314,1,0
Icém,2004,4,91,1,25,2,3519808,7117,0,NA,56.20345651257552,1278.628635661093,14.05086412814388,351.271603203597,28.10172825628776,0,0
Iepê,2004,2,47,1,33,0,3519907,7063,0,NA,28.316579357213648,665.4396148945208,14.158289678606824,467.22355939402524,0,0,0
Igaraçu do Tietê,2004,8,307,0,229,1,3520004,23509,0,NA,34.02952060912842,1305.882853375303,0,974.0950274363009,4.253690076141052,0,0
Igarapava,2004,20,426,2,260,1,3520103,27773,0,NA,72.01238613041444,1533.8638245778275,7.2012386130414425,936.1610196953876,3.6006193065207213,0,0
Igaratá,2004,17,200,1,43,1,3520202,9318,0,NA,182.44258424554624,2146.38334406525,10.73191672032625,461.47241897402876,10.73191672032625,0,0
Iguape,2004,9,969,5,292,4,3520301,28367,0,NA,31.727006733175873,3415.941058271936,17.626114851764374,1029.3651073430394,14.1008918814115,0,0
Ilha Comprida,2004,13,683,2,125,2,3520426,8730,0,NA,148.91179839633446,7823.596792668957,22.90950744558992,1431.84421534937,22.90950744558992,0,0
Ilha Solteira,2004,8,429,0,135,4,3520442,25168,1,1993,31.78639542275906,1704.5454545454545,0,536.3954227590591,15.89319771137953,1,0
Ilhabela,2004,6,710,4,216,1,3520400,24580,0,NA,24.410089503661514,2888.527257933279,16.273393002441008,878.7632221318145,4.068348250610252,0,0
Indaiatuba,2004,637,604,22,732,26,3520509,170703,1,1983,373.1627446500647,353.83092271371913,12.887881290897054,428.814959315302,15.23113243469652,1,0
Indiana,2004,0,51,0,57,2,3520608,5091,0,NA,0,1001.7678255745434,0,1119.6228638774307,39.28501276762915,0,0
Indiaporã,2004,0,20,1,39,0,3520707,3694,0,NA,0,541.4185165132648,27.070925825663238,1055.7661072008661,0,0,0
Inúbia Paulista,2004,0,16,0,39,0,3520806,3299,0,NA,0,484.9954531676266,0,1182.1764170960896,0,0,0
Ipaussu,2004,3,120,0,115,1,3520905,13141,0,NA,22.829312837683585,913.1725135073434,0,875.1236587778708,7.609770945894529,0,0
Iperó,2004,31,310,6,124,7,3521002,22390,1,1996,138.4546672621706,1384.5466726217062,26.797677534613666,553.8186690486824,31.263957123715944,1,0
Ipeúna,2004,11,89,1,35,1,3521101,5182,0,NA,212.27325357005017,1717.4835970667696,19.297568506368197,675.4148977228868,19.297568506368197,0,0
Ipiguá,2004,3,35,0,11,0,3521150,4060,0,NA,73.89162561576356,862.0689655172414,0,270.935960591133,0,0,0
Iporanga,2004,1,47,1,30,0,3521200,4535,0,NA,22.050716648291072,1036.3836824696803,22.050716648291072,661.5214994487321,0,0,0
Ipuã,2004,7,84,2,69,1,3521309,12647,0,NA,55.34909464695185,664.1891357634221,15.814027041986241,545.5839329485253,7.907013520993121,0,0
Iracemápolis,2004,39,277,0,115,0,3521408,17506,1,1989,222.78076088198333,1582.3146349822916,0,656.9176282417457,0,1,0
Irapuã,2004,5,54,0,47,1,3521507,6948,0,NA,71.96315486470927,777.2020725388601,0,676.4536557282671,14.392630972941856,0,0
Irapuru,2004,0,30,0,72,0,3521606,7047,1,2003,0,425.7130693912303,0,1021.7113665389528,0,0,1
Itaberá,2004,5,209,1,77,4,3521705,19430,0,NA,25.73340195573855,1075.6562017498713,5.14668039114771,396.2943901183736,20.58672156459084,0,0
Itaí,2004,15,287,2,164,0,3521804,22690,0,NA,66.10841780520053,1264.8743940061702,8.814455707360072,722.7853680035257,0,0,0
Itajobi,2004,1,92,0,66,2,3521903,14769,0,NA,6.770939129257227,622.9263998916649,0,446.8819825309771,13.541878258514455,0,0
Itaju,2004,0,26,0,20,0,3522000,2781,0,NA,0,934.9154980222941,0,719.165767709457,0,0,0
Itanhaém,2004,127,585,15,538,17,3522109,85294,1,1998,148.89675709897529,685.8630149834689,17.58623115342228,630.7594907027458,19.931061973878585,1,0
Itaóca,2004,0,10,0,11,2,3522158,2969,0,NA,0,336.81374200067364,0,370.495116200741,67.36274840013472,0,0
Itapecerica da Serra,2004,404,1422,69,491,16,3522208,152283,1,1994,265.2955352862762,933.7877504383287,45.310376076121436,322.4260094692119,10.50675387272381,1,0
Itapetininga,2004,192,349,17,945,9,3522307,137733,1,2008,139.40014375639825,253.38880297386973,12.34272106176443,686.1100825510226,6.5343817385811676,0,0
Itapeva,2004,51,120,7,855,16,3522406,87639,1,1993,58.19327011946736,136.92534145757025,7.987311585024932,975.593057885188,18.256712194342704,1,0
Itapevi,2004,387,682,70,808,19,3522505,190373,1,1997,203.2851297190253,358.2440787296518,36.76992010421646,424.4299349172414,9.980406885430181,1,0
Itapira,2004,117,141,6,440,3,3522604,66861,1,1997,174.98990442859065,210.8852694395836,8.973841252748239,658.0816918682042,4.486920626374119,1,0
Itapirapuã Paulista,2004,0,17,0,9,2,3522653,3739,0,NA,0,454.66702326825356,0,240.70607114201658,53.49023803155924,0,0
Itápolis,2004,26,435,5,346,6,3522703,40160,1,1986,64.7410358565737,1083.167330677291,12.450199203187251,861.5537848605578,14.9402390438247,1,0
Itaporanga,2004,10,39,1,67,0,3522802,14324,0,NA,69.8129014241832,272.27031555431444,6.9812901424183185,467.74643954202736,0,0,0
Itapuí,2004,1,190,0,49,2,3522901,11048,0,NA,9.051412020275162,1719.768283852281,0,443.51918899348294,18.102824040550324,0,0
Itapura,2004,1,82,0,40,0,3523008,3881,0,NA,25.76655501159495,2112.8575109507856,0,1030.6622004637982,0,0,0
Itaquaquecetuba,2004,730,3,130,705,35,3523107,328345,1,1998,222.32712543209126,0.9136731182140735,39.592501789276525,214.7131827803073,10.659519712497525,1,0
Itararé,2004,16,552,5,355,3,3523206,48973,1,2000,32.67106364731587,1127.1516958323975,10.209707389786209,724.8892246748209,6.125824433871726,1,0
Itariri,2004,14,257,5,47,2,3523305,14642,0,NA,95.61535309383964,1755.2246960797706,34.14834039065701,320.9943996721759,13.659336156262805,0,0
Itatiba,2004,241,243,13,509,8,3523404,91228,1,1967,264.1732801332924,266.3655895119919,14.250010961546893,557.9427368790283,8.769237514798087,1,0
Itatinga,2004,3,110,1,127,1,3523503,16306,1,2002,18.398135655586902,674.5983073715197,6.132711885195633,778.8544094198454,6.132711885195633,0,1
Itirapina,2004,22,324,1,156,1,3523602,14315,0,NA,153.68494586098498,2263.3601117708695,6.985679357317499,1089.76597974153,6.985679357317499,0,0
Itirapuã,2004,4,72,0,29,0,3523701,5601,0,NA,71.41581860382074,1285.4847348687733,0,517.7646848777003,0,0,0
Itobi,2004,1,35,1,41,1,3523800,7816,0,NA,12.794268167860798,447.799385875128,12.794268167860798,524.5649948822927,12.794268167860798,0,0
Itu,2004,483,446,28,583,12,3523909,149758,1,1986,322.5203328035898,297.8138062741222,18.696830887164626,389.29472882917776,8.012927523070553,1,0
Itupeva,2004,98,641,8,166,1,3524006,30283,1,1991,323.61390879371265,2116.699138130304,26.41746194234389,548.1623353036357,3.3021827427929864,1,0
Ituverava,2004,18,909,7,301,7,3524105,37943,0,NA,47.43958042326648,2395.698811374957,18.448725720159185,793.2952059668451,18.448725720159185,0,0
Jaborandi,2004,2,101,0,49,0,3524204,6469,0,NA,30.91667954861648,1561.2923172051321,0,757.4586489411038,0,0,0
Jaboticabal,2004,111,100,10,562,7,3524303,71654,0,NA,154.91110056661176,139.5595500600106,13.95595500600106,784.3246713372595,9.769168504200742,0,0
Jacareí,2004,632,865,72,871,15,3524402,205360,1,1960,307.7522399688352,421.2115309700039,35.06038176860148,424.1332294507207,7.304246201791975,1,0
Jaci,2004,2,62,0,12,1,3524501,4568,0,NA,43.78283712784589,1357.2679509632223,0,262.6970227670753,21.891418563922944,0,0
Jacupiranga,2004,4,139,1,90,0,3524600,18380,0,NA,21.762785636561482,756.2568008705115,5.4406964091403704,489.6626768226333,0,0,0
Jaguariúna,2004,108,752,3,207,1,3524709,33194,1,1999,325.3600048201482,2265.469663192143,9.037777911670783,623.6066759052841,3.012592637223595,1,0
Jales,2004,21,861,4,414,5,3524808,48659,0,NA,43.157483713187695,1769.4568322406956,8.220473088226228,850.8189646314146,10.275591360282785,0,0
Jambeiro,2004,3,80,0,25,3,3524907,4355,0,NA,68.88633754305395,1836.9690011481057,0,574.052812858783,68.88633754305395,0,0
Jandira,2004,267,1205,32,517,15,3525003,106742,1,1997,250.13584156189688,1128.8902212812202,29.97882745311124,484.34543103932845,14.052575368645893,1,0
Jardinópolis,2004,69,897,4,241,9,3525102,34118,0,NA,202.2392871797878,2629.1107333372415,11.72401664810364,706.3720030482443,26.379037458233192,0,0
Jarinu,2004,51,365,2,94,3,3525201,20203,1,2013,252.43775676879673,1806.6623768747215,9.899519873286147,465.27743404444885,14.849279809929218,0,0
Jaú,2004,157,90,4,896,13,3525300,121333,1,2001,129.39595987901066,74.17602795612076,3.296712353605367,738.4635672076022,10.714315149217443,0,1
Jeriquara,2004,0,63,0,64,0,3525409,3296,0,NA,0,1911.407766990291,0,1941.7475728155339,0,0,0
Joanópolis,2004,12,145,2,84,0,3525508,11550,0,NA,103.8961038961039,1255.4112554112553,17.316017316017316,727.2727272727273,0,0,0
João Ramalho,2004,1,13,0,16,0,3525607,4245,0,NA,23.557126030624264,306.24263839811545,0,376.9140164899882,0,0,0
José Bonifácio,2004,31,618,1,99,2,3525706,31314,0,NA,98.99725362457687,1973.5581529028548,3.193459794341189,316.1525196397777,6.386919588682378,0,0
