id_municipio,ano,pib
3501202,2014,86535367
3501202,2015,87966611
3501202,2016,94427890
3501202,2017,105674954
3501202,2018,119696027
3501301,2002,110312409
3501301,2003,123139467
3501301,2004,131125904
3501301,2005,145674471
3501301,2006,167452482
3501301,2007,179853338
3501301,2008,195512980
3501301,2009,206279038
3501301,2010,236565853
3501301,2011,272412713
3501301,2012,314146275
3501301,2013,359820817
3501301,2014,400221324
3501301,2015,419928043
3501301,2016,475540677
3501301,2017,522753858
3501301,2018,530717813
3501400,2002,14317594
3501400,2003,14144593
3501400,2004,16082268
3501400,2005,19040033
3501400,2006,20967892
3501400,2007,23871511
3501400,2008,27451124
3501400,2009,28561284
3501400,2010,30121479
3501400,2011,40785787
3501400,2012,37634491
3501400,2013,36455860
3501400,2014,39705274
3501400,2015,47189688
3501400,2016,48322371
3501400,2017,50876288
3501400,2018,49886480
3501509,2002,11676434
3501509,2003,12885072
3501509,2004,15330374
3501509,2005,17703191
3501509,2006,19569647
3501509,2007,28783490
3501509,2008,21764380
3501509,2009,24243455
3501509,2010,31245569
3501509,2011,29647842
3501509,2012,34570751
3501509,2013,39181504
3501509,2014,41181912
3501509,2015,42405843
3501509,2016,45576227
3501509,2017,64454577
3501509,2018,51906344
3501608,2002,3115080740
3501608,2003,3811534658
3501608,2004,4310191299
3501608,2005,4437989880
3501608,2006,4788920640
3501608,2007,5519001938
3501608,2008,5880865378
3501608,2009,6161413367
3501608,2010,7236089940
3501608,2011,8616510405
3501608,2012,8758084098
3501608,2013,10085142423
3501608,2014,10305234814
3501608,2015,9882075173
3501608,2016,10435437408
3501608,2017,10984203188
3501608,2018,11332408168
3501707,2002,158393085
3501707,2003,171543284
3501707,2004,195022678
3501707,2005,252023966
3501707,2006,287913217
3501707,2007,293401354
3501707,2008,328000224
3501707,2009,369577240
3501707,2010,459374943
3501707,2011,502124165
3501707,2012,538860619
3501707,2013,651114693
3501707,2014,697993638
3501707,2015,759581678
3501707,2016,827778992
3501707,2017,981225621
3501707,2018,959435488
3501806,2002,23728056
3501806,2003,26241668
3501806,2004,31328951
3501806,2005,31564460
3501806,2006,33212595
3501806,2007,38357513
3501806,2008,39451915
3501806,2009,50349844
3501806,2010,56280330
3501806,2011,62468903
3501806,2012,63071858
3501806,2013,69638400
3501806,2014,85986937
3501806,2015,84723769
3501806,2016,100974512
