id_municipio,ano,pop
3501152,2019,18628
3501152,2020,18767
3501202,2001,4227
3501202,2002,4162
3501202,2003,4090
3501202,2004,3939
3501202,2005,3856
3501202,2006,3773
3501202,2007,3902
3501202,2008,3920
3501202,2009,3876
3501202,2010,3897
3501202,2011,3865
3501202,2012,3834
3501202,2013,3915
3501202,2014,3883
3501202,2015,3853
3501202,2016,3824
3501202,2017,3795
3501202,2018,3712
3501202,2019,3679
3501202,2020,3647
3501301,2001,23141
3501301,2002,23460
3501301,2003,23830
3501301,2004,24609
3501301,2005,25039
3501301,2006,25467
3501301,2007,22859
3501301,2008,23694
3501301,2009,23779
3501301,2010,23513
3501301,2011,23578
3501301,2012,23642
3501301,2013,24482
3501301,2014,24568
3501301,2015,24651
3501301,2016,24733
3501301,2017,24813
3501301,2018,24830
3501301,2019,24915
3501301,2020,24998
3501400,2001,4241
3501400,2002,4314
3501400,2003,4410
3501400,2004,4610
3501400,2005,4720
3501400,2006,4830
3501400,2007,4610
3501400,2008,4907
3501400,2009,4984
3501400,2010,4650
3501400,2011,4692
3501400,2012,4732
3501400,2013,4937
3501400,2014,4984
3501400,2015,5030
3501400,2016,5075
3501400,2017,5119
3501400,2018,5179
3501400,2019,5227
3501400,2020,5274
3501509,2001,2878
3501509,2002,2899
3501509,2003,2928
3501509,2004,2989
3501509,2005,3022
3501509,2006,3056
3501509,2007,2787
3501509,2008,2868
3501509,2009,2869
3501509,2010,3000
3501509,2011,3013
3501509,2012,3025
3501509,2013,3137
3501509,2014,3153
3501509,2015,3168
3501509,2016,3182
3501509,2017,3196
3501509,2018,3206
3501509,2019,3222
3501509,2020,3237
3501608,2001,185552
3501608,2002,188643
3501608,2003,191451
3501608,2004,197345
3501608,2005,200607
3501608,2006,203845
3501608,2007,199094
3501608,2008,203283
3501608,2009,205229
3501608,2010,210638
3501608,2011,212791
3501608,2012,214873
3501608,2013,224551
3501608,2014,226970
3501608,2015,229322
3501608,2016,231621
3501608,2017,233868
3501608,2018,237112
3501608,2019,239597
3501608,2020,242018
3501707,2001,29303
3501707,2002,30017
3501707,2003,30819
3501707,2004,32504
3501707,2005,33437
3501707,2006,34362
3501707,2007,31005
3501707,2008,32819
3501707,2009,33255
3501707,2010,34478
3501707,2011,34953
3501707,2012,35413
3501707,2013,37165
3501707,2014,37691
3501707,2015,38202
3501707,2016,38701
3501707,2017,39189
3501707,2018,39962
3501707,2019,40504
3501707,2020,41032
3501806,2001,5596
3501806,2002,5595
3501806,2003,5595
3501806,2004,5596
3501806,2005,5597
3501806,2006,5597
3501806,2007,5379
3501806,2008,5503
3501806,2009,5488
3501806,2010,5706
3501806,2011,5715
3501806,2012,5723
3501806,2013,5916
3501806,2014,5930
3501806,2015,5942
3501806,2016,5955
3501806,2017,5967
3501806,2018,5956
3501806,2019,5969
3501806,2020,5981
3501905,2001,61431
3501905,2002,62425
3501905,2003,63364
3501905,2004,65333
3501905,2005,66423
3501905,2006,67505
3501905,2007,62692
3501905,2008,65466
3501905,2009,65928
3501905,2010,65829
3501905,2011,66245
3501905,2012,66649
3501905,2013,69322
3501905,2014,69808
3501905,2015,70280
3501905,2016,70742
3501905,2017,71193
3501905,2018,71700
3501905,2019,72195
3501905,2020,72677
3502002,2001,3648
3502002,2002,3700
3502002,2003,3755
3502002,2004,3870
3502002,2005,3934
3502002,2006,3997
3502002,2007,4166
3502002,2008,4471
3502002,2009,4558
3502002,2010,4293
3502002,2011,4348
3502002,2012,4401
3502002,2013,4612
3502002,2014,4672
3502002,2015,4731
3502002,2016,4789
3502002,2017,4845
3502002,2018,4933
3502002,2019,4995
3502002,2020,5056
3502101,2001,55499
3502101,2002,55740
3502101,2003,56009
3502101,2004,56573
3502101,2005,56885
3502101,2006,57195
3502101,2007,54753
3502101,2008,56505
3502101,2009,56593
3502101,2010,55334
3502101,2011,55347
3502101,2012,55361
3502101,2013,57145
3502101,2014,57198
3502101,2015,57250
3502101,2016,57300
3502101,2017,57350
3502101,2018,57112
3502101,2019,57157
3502101,2020,57202
3502200,2001,19557
3502200,2002,19734
3502200,2003,19937
3502200,2004,20363
3502200,2005,20599
3502200,2006,20833
3502200,2007,21523
3502200,2008,22877
3502200,2009,23225
3502200,2010,22210
3502200,2011,22434
3502200,2012,22650
3502200,2013,23666
3502200,2014,23917
3502200,2015,24161
3502200,2016,24400
3502200,2017,24634
3502200,2018,24969
3502200,2019,25228
3502200,2020,25479
3502309,2001,4660
3502309,2002,4745
3502309,2003,4842
3502309,2004,5047
3502309,2005,5160
3502309,2006,5273
3502309,2007,5271
3502309,2008,5656
3502309,2009,5766
3502309,2010,5653
3502309,2011,5739
3502309,2012,5822
3502309,2013,6120
3502309,2014,6215
3502309,2015,6307
3502309,2016,6397
3502309,2017,6484
3502309,2018,6627
3502309,2019,6724
3502309,2020,6819
3502408,2001,3424
3502408,2002,3447
3502408,2003,3463
3502408,2004,3498
3502408,2005,3517
3502408,2006,3536
3502408,2007,3695
3502408,2008,3900
3502408,2009,3947
3502408,2010,3738
3502408,2011,3763
3502408,2012,3788
3502408,2013,3941
3502408,2014,3970
3502408,2015,3999
3502408,2016,4026
3502408,2017,4053
3502408,2018,4085
3502408,2019,4115
3502408,2020,4144
3502507,2001,35029
3502507,2002,35253
3502507,2003,35414
3502507,2004,35754
3502507,2005,35942
3502507,2006,36129
3502507,2007,35903
3502507,2008,37405
3502507,2009,37629
3502507,2010,35007
3502507,2011,35015
3502507,2012,35023
3502507,2013,36151
3502507,2014,36184
3502507,2015,36217
3502507,2016,36248
3502507,2017,36279
3502507,2018,36129
3502507,2019,36157
3502507,2020,36185
3502606,2001,4909
3502606,2002,4900
3502606,2003,4884
3502606,2004,4850
3502606,2005,4832
3502606,2006,4813
3502606,2007,4577
3502606,2008,4633
3502606,2009,4598
3502606,2010,4450
3502606,2011,4413
3502606,2012,4377
3502606,2013,4468
3502606,2014,4432
3502606,2015,4397
3502606,2016,4362
3502606,2017,4329
3502606,2018,4234
3502606,2019,4196
3502606,2020,4158
3502705,2001,27209
3502705,2002,27293
3502705,2003,27353
3502705,2004,27481
3502705,2005,27551
3502705,2006,27621
3502705,2007,25463
3502705,2008,25857
3502705,2009,25700
3502705,2010,25191
3502705,2011,25040
3502705,2012,24894
3502705,2013,25491
3502705,2014,25349
3502705,2015,25211
3502705,2016,25077
3502705,2017,24945
3502705,2018,24526
3502705,2019,24374
3502705,2020,24226
3502754,2001,11652
3502754,2002,12044
3502754,2003,12457
3502754,2004,13324
3502754,2005,13804
3502754,2006,14280
3502754,2007,12291
3502754,2008,13027
3502754,2009,13208
3502754,2010,17080
3502754,2011,17535
3502754,2012,17975
3502754,2013,19144
3502754,2014,19636
3502754,2015,20114
3502754,2016,20581
3502754,2017,21038
3502754,2018,21854
3502754,2019,22364
3502754,2020,22860
3502804,2001,171289
3502804,2002,172768
3502804,2003,174399
3502804,2004,177823
3502804,2005,179717
3502804,2006,181598
3502804,2007,178839
3502804,2008,181143
3502804,2009,182204
3502804,2010,181579
3502804,2011,182525
3502804,2012,183441
3502804,2013,190536
3502804,2014,191662
3502804,2015,192757
3502804,2016,193828
3502804,2017,194874
3502804,2018,195874
3502804,2019,197016
3502804,2020,198129
3502903,2001,20408
3502903,2002,20925
3502903,2003,21440
3502903,2004,22521
3502903,2005,23119
3502903,2006,23713
3502903,2007,24022
3502903,2008,26012
3502903,2009,26626
3502903,2010,27299
3502903,2011,27873
3502903,2012,28429
3502903,2013,30088
3502903,2014,30713
3502903,2015,31321
3502903,2016,31915
3502903,2017,32495
3502903,2018,33499
3502903,2019,34146
3502903,2020,34776
3503000,2001,4847
3503000,2002,4910
3503000,2003,4978
3503000,2004,5122
3503000,2005,5201
3503000,2006,5280
3503000,2007,5019
3503000,2008,5262
3503000,2009,5308
3503000,2010,5152
3503000,2011,5182
3503000,2012,5211
3503000,2013,5416
3503000,2014,5451
3503000,2015,5486
3503000,2016,5519
3503000,2017,5552
3503000,2018,5585
3503000,2019,5620
3503000,2020,5655
3503109,2001,6117
3503109,2002,6159
3503109,2003,6202
3503109,2004,6293
3503109,2005,6344
3503109,2006,6394
3503109,2007,6013
3503109,2008,6204
3503109,2009,6212
3503109,2010,6123
3503109,2011,6127
3503109,2012,6132
3503109,2013,6334
3503109,2014,6343
3503109,2015,6351
3503109,2016,6360
3503109,2017,6368
3503109,2018,6348
3503109,2019,6357
3503109,2020,6365
3503158,2001,2653
3503158,2002,2686
3503158,2003,2718
3503158,2004,2784
3503158,2005,2821
3503158,2006,2857
3503158,2007,2527
3503158,2008,2587
3503158,2009,2582
3503158,2010,2493
3503158,2011,2483
3503158,2012,2475
3503158,2013,2541
3503158,2014,2532
3503158,2015,2524
3503158,2016,2516
3503158,2017,2509
3503158,2018,2478
3503158,2019,2469
3503158,2020,2460
3503208,2001,185064
3503208,2002,187363
3503208,2003,189634
3503208,2004,194401
3503208,2005,197039
3503208,2006,199657
3503208,2007,195815
3503208,2008,199132
3503208,2009,200666
3503208,2010,208662
3503208,2011,210672
3503208,2012,212617
3503208,2013,222036
3503208,2014,224304
3503208,2015,226508
3503208,2016,228664
3503208,2017,230770
3503208,2018,233744
3503208,2019,236072
3503208,2020,238339
3503307,2001,106261
3503307,2002,107718
3503307,2003,109352
3503307,2004,112783
3503307,2005,114682
3503307,2006,116566
3503307,2007,108689
3503307,2008,113645
3503307,2009,114515
3503307,2010,118843
3503307,2011,119967
3503307,2012,121055
3503307,2013,126391
3503307,2014,127661
3503307,2015,128895
3503307,2016,130102
3503307,2017,131282
3503307,2018,132934
3503307,2019,134236
3503307,2020,135506
3503356,2001,2185
3503356,2002,2203
3503356,2003,2221
3503356,2004,2260
3503356,2005,2281
3503356,2006,2303
3503356,2007,2003
3503356,2008,2026
3503356,2009,2010
3503356,2010,1925
3503356,2011,1907
3503356,2012,1890
3503356,2013,1925
3503356,2014,1907
3503356,2015,1890
3503356,2016,1873
3503356,2017,1856
3503356,2018,1811
3503356,2019,1791
3503356,2020,1773
3503406,2001,7283
3503406,2002,7318
3503406,2003,7352
3503406,2004,7425
3503406,2005,7465
3503406,2006,7504
3503406,2007,7504
3503406,2008,7833
3503406,2009,7886
3503406,2010,7841
3503406,2011,7887
3503406,2012,7932
3503406,2013,8245
3503406,2014,8299
3503406,2015,8351
3503406,2016,8402
3503406,2017,8452
3503406,2018,8505
3503406,2019,8560
3503406,2020,8613
3503505,2001,3637
3503505,2002,3666
3503505,2003,3697
3503505,2004,3762
3503505,2005,3798
3503505,2006,3834
3503505,2007,3571
3503505,2008,3684
3503505,2009,3690
3503505,2010,3696
3503505,2011,3703
3503505,2012,3711
3503505,2013,3839
3503505,2014,3849
3503505,2015,3859
3503505,2016,3869
3503505,2017,3879
3503505,2018,3876
3503505,2019,3886
3503505,2020,3896
3503604,2001,10332
3503604,2002,10360
3503604,2003,10390
3503604,2004,10452
3503604,2005,10487
3503604,2006,10521
3503604,2007,10630
3503604,2008,11085
3503604,2009,11157
3503604,2010,10579
3503604,2011,10601
3503604,2012,10622
3503604,2013,10989
3503604,2014,11020
3503604,2015,11049
3503604,2016,11078
3503604,2017,11107
3503604,2018,11099
3503604,2019,11129
3503604,2020,11158
3503703,2001,7679
3503703,2002,7820
3503703,2003,7980
3503703,2004,8314
3503703,2005,8499
3503703,2006,8683
3503703,2007,8255
3503703,2008,8753
3503703,2009,8876
3503703,2010,8547
3503703,2011,8629
3503703,2012,8709
3503703,2013,9095
3503703,2014,9187
3503703,2015,9277
3503703,2016,9365
3503703,2017,9451
3503703,2018,9573
3503703,2019,9668
3503703,2020,9761
3503802,2001,34782
3503802,2002,36033
3503802,2003,37384
3503802,2004,40218
3503802,2005,41787
3503802,2006,43344
3503802,2007,39457
3503802,2008,42567
3503802,2009,43499
3503802,2010,44177
3503802,2011,45025
3503802,2012,45847
3503802,2013,48420
3503802,2014,49346
3503802,2015,50246
3503802,2016,51126
3503802,2017,51986
3503802,2018,53450
3503802,2019,54408
